Stock,Status,Processing_Time_s,Optimal_Threshold,Sharpe_Ratio,Annualized_Return,Max_Drawdown,Trade_Count
ADP,Success,74.69857001304626,N/A,N/A,N/A,N/A,N/A
AMD,Success,16.096771001815796,N/A,N/A,N/A,N/A,N/A
AMZN,Success,6.7807297706604,N/A,N/A,N/A,N/A,N/A
AAPL,Success,99.023282289505,N/A,N/A,N/A,N/A,N/A
BSX,Success,24.935556888580322,N/A,N/A,N/A,N/A,N/A
BX,Success,5.273865222930908,N/A,N/A,N/A,N/A,N/A
AVGO,Success,32.63764691352844,N/A,N/A,N/A,N/A,N/A
EBAY,Success,28.33611297607422,N/A,N/A,N/A,N/A,N/A
DLR,Success,35.107073068618774,N/A,N/A,N/A,N/A,N/A
EWJ,Success,6.3864970207214355,N/A,N/A,N/A,N/A,N/A
GILD,Success,50.130714893341064,N/A,N/A,N/A,N/A,N/A
GOOG,Success,64.0178918838501,N/A,N/A,N/A,N/A,N/A
HCA,Success,15.210872173309326,N/A,N/A,N/A,N/A,N/A
MDLZ,Success,22.389540195465088,N/A,N/A,N/A,N/A,N/A
HD,Success,26.209896087646484,N/A,N/A,N/A,N/A,N/A
MSFT,Success,6.686479091644287,N/A,N/A,N/A,N/A,N/A
NOW,Success,8.725369691848755,N/A,N/A,N/A,N/A,N/A
NVDA,Success,5.988077163696289,N/A,N/A,N/A,N/A,N/A
PLTR,Failed,N/A,N/A,N/A,N/A,N/A,N/A
QQQ,Failed,N/A,N/A,N/A,N/A,N/A,N/A
RBLX,Failed,N/A,N/A,N/A,N/A,N/A,N/A
TSLA,Success,13.781068086624146,N/A,N/A,N/A,N/A,N/A
TMUS,Success,16.602030992507935,N/A,N/A,N/A,N/A,N/A
XEL,Success,15.074732065200806,N/A,N/A,N/A,N/A,N/A
V,Success,21.656213998794556,N/A,N/A,N/A,N/A,N/A
XLI,Success,6.180779933929443,N/A,N/A,N/A,N/A,N/A
XLU,Success,8.615063905715942,N/A,N/A,N/A,N/A,N/A
